"STATION","DATE","PRCP","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","2017-01-01","0.00","48","40",,,,,,"    1"
"USW00094728","2017-01-02","0.21","41","37","    1",,,"    1",,
"USW00094728","2017-01-03","0.58","43","39","    1",,,,,
"USW00094728","2017-01-04","0.00","52","34","    1",,,,,"    1"
"USW00094728","2017-01-05","0.00","34","27",,,,,,
"USW00094728","2017-01-06","0.05","33","25","    1",,,,,"    1"
"USW00094728","2017-01-07","0.32","26","20","    1","    1",,,,"    1"
"USW00094728","2017-01-08","0.00","25","16",,,,,,
"USW00094728","2017-01-09","0.00","23","14",,,,,,
"USW00094728","2017-01-10","0.00","46","21",,,,,,
"USW00094728","2017-01-11","0.52","52","42","    1",,,,,
"USW00094728","2017-01-12","0.05","66","47","    1",,,,,
"USW00094728","2017-01-13","0.00","62","32",,,,,,
"USW00094728","2017-01-14","0.12","34","28","    1","    1",,,,
"USW00094728","2017-01-15","0.00","38","30",,,,,,
"USW00094728","2017-01-16","0.00","43","30",,,,,,
"USW00094728","2017-01-17","0.35","42","38","    1",,,,,"    1"
"USW00094728","2017-01-18","0.06","41","38","    1",,,,,
"USW00094728","2017-01-19","0.00","49","39",,,,,,
"USW00094728","2017-01-20","0.10","45","40","    1",,,,,
"USW00094728","2017-01-21","0.00","49","41","    1",,,,,"    1"
"USW00094728","2017-01-22","0.05","48","43","    1","    1",,,,"    1"
"USW00094728","2017-01-23","1.16","44","36","    1",,,,,
"USW00094728","2017-01-24","1.18","38","35","    1",,,,,
"USW00094728","2017-01-25","0.00","51","36",,,,,,
"USW00094728","2017-01-26","0.02","56","43",,,,,,
"USW00094728","2017-01-27","0.00","43","36",,,,,,
"USW00094728","2017-01-28","0.00","39","34",,,,,,
"USW00094728","2017-01-29","0.00","43","35",,,,,,
"USW00094728","2017-01-30","0.00","37","30",,,,,,
"USW00094728","2017-01-31","0.06","34","26","    1","    1",,,,"    1"
"USW00094728","2017-02-01","0.00","47","33",,,,,,
"USW00094728","2017-02-02","0.00","45","32",,,,,,
"USW00094728","2017-02-03","0.00","33","26",,,,,,
"USW00094728","2017-02-04","0.00","34","22",,,,,,
"USW00094728","2017-02-05","0.00","43","31",,,,,,
"USW00094728","2017-02-06","0.00","49","36",,,,,,
"USW00094728","2017-02-07","0.27","42","36","    1",,,,,"    1"
"USW00094728","2017-02-08","0.03","62","38","    1",,,,,"    1"
"USW00094728","2017-02-09","1.16","44","19","    1","    1",,,,"    1"
"USW00094728","2017-02-10","0.00","32","19",,,,,,"    1"
"USW00094728","2017-02-11","0.00","48","30",,,,,,
"USW00094728","2017-02-12","0.46","40","30","    1",,,,"    1",
"USW00094728","2017-02-13","0.02","39","31","    1",,,,,
"USW00094728","2017-02-14","0.00","41","28",,,,,,
"USW00094728","2017-02-15","0.00","47","35",,,,,,
"USW00094728","2017-02-16","0.00","35","28",,,,,,
"USW00094728","2017-02-17","0.00","41","26",,,,,,
"USW00094728","2017-02-18","0.00","63","35",,,,,,
"USW00094728","2017-02-19","0.00","65","53",,,,,,
"USW00094728","2017-02-20","0.00","55","39",,,,,,
"USW00094728","2017-02-21","0.00","47","34",,,,,,
"USW00094728","2017-02-22","0.00","57","42",,,,,,
"USW00094728","2017-02-23","0.00","65","44","    1",,,,,"    1"
"USW00094728","2017-02-24","0.00","70","58",,,,,,
"USW00094728","2017-02-25","0.54","63","44","    1",,,,,
"USW00094728","2017-02-26","0.00","44","36",,,,,,
"USW00094728","2017-02-27","0.00","54","35",,,,,,
"USW00094728","2017-02-28","0.00","59","47",,,,,,
"USW00094728","2017-03-01","0.12","70","54","    1",,,,,"    1"
"USW00094728","2017-03-02","0.00","64","35",,,,,,
"USW00094728","2017-03-03","0.00","39","24",,,,,,
"USW00094728","2017-03-04","0.00","30","17",,,,,,
"USW00094728","2017-03-05","0.00","37","14",,,,,,
"USW00094728","2017-03-06","0.00","45","26",,,,,,
"USW00094728","2017-03-07","0.10","56","42","    1",,,,,
"USW00094728","2017-03-08","0.02","59","47","    1",,,,,
"USW00094728","2017-03-09","0.00","61","47",,,,,,
"USW00094728","2017-03-10","0.31","47","23","    1","    1",,,,
"USW00094728","2017-03-11","0.00","29","17",,,,,,
"USW00094728","2017-03-12","0.00","29","19",,,,,,
"USW00094728","2017-03-13","0.00","36","20",,,,,,
"USW00094728","2017-03-14","1.97","32","21","    1","    1",,,,"    1"
"USW00094728","2017-03-15","0.00","26","20",,,,,,"    1"
"USW00094728","2017-03-16","0.00","39","24",,,,,,
"USW00094728","2017-03-17","0.00","47","29",,,,,,
"USW00094728","2017-03-18","0.08","39","34","    1",,,,,"    1"
"USW00094728","2017-03-19","0.00","47","34",,,,,,
"USW00094728","2017-03-20","0.00","52","33",,,,,,
"USW00094728","2017-03-21","0.00","59","42",,,,,,
"USW00094728","2017-03-22","0.00","50","24",,,,,,
"USW00094728","2017-03-23","0.00","42","23",,,,,,
"USW00094728","2017-03-24","0.00","57","36",,,,,,
"USW00094728","2017-03-25","0.01","62","42","    1",,,,,
"USW00094728","2017-03-26","0.14","42","37","    1",,,,,
"USW00094728","2017-03-27","0.26","53","37","    1",,,,,"    1"
"USW00094728","2017-03-28","0.72","46","41","    1",,,,,
"USW00094728","2017-03-29","0.00","60","42","    1",,,,,
"USW00094728","2017-03-30","0.01","52","38",,,,,,
"USW00094728","2017-03-31","1.51","43","37","    1",,,,,
"USW00094728","2017-04-01","0.00","48","37","    1",,,,,
"USW00094728","2017-04-02","0.00","63","40",,,,,,
"USW00094728","2017-04-03","0.03","63","48",,,,,,
"USW00094728","2017-04-04","1.18","51","45","    1",,,,,
"USW00094728","2017-04-05","0.00","65","45","    1",,,,,"    1"
"USW00094728","2017-04-06","0.73","53","40","    1",,,,,
"USW00094728","2017-04-07","0.00","51","40",,,,,,
"USW00094728","2017-04-08","0.00","57","40",,,,,,
